Type,Total,Mean,Median,Max
Total,979.29,195.858,63.97,460.48
Permitted Capacity,364.62,72.924,29.9,172.9
Total WW Flow,217.27,43.454,19,104.12
Total Reuse,102.16,20.432,10.96,51.58
WW Disposal,82.46,16.492,4.81,52
Surface Water,82.36,16.472,4.81,51.9
Res Irrig/ Landscape,65.31,13.062000000000001,3.5,38.63
Industrial,23.99,4.798,7.37,9.18
Recharge/ RIBS,13.959999999999999,2.792,0.03,12.59
ATP/Other,12.19,2.438,0.27,8.24
Golf Courses,9.42,1.8840000000000001,0.23,5.57
Wetlands,2.8600000000000003,0.5720000000000001,0,2.8600000000000003
Transfers Out,0.78,0.156,0,0.59
Transfers In,0.74,0.148,0,0.74
Other Reuse,0.52,0.10400000000000001,0,0.52
Sprayfields,0.3,0.06,0,0.19
Supplemental Flow,0.26,0.052000000000000005,0,0.26
Ag Irrig,0.09,0.018000000000000002,0.01,0.05
Deep Well Injection,0,0,0,0
IPR,0,0,0,0
